二人以上の世帯_支出金額[円],,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年
表側連番,階層,大分類,中分類,小分類,品目分類,(平成12年),(平成13年),(平成14年),(平成15年),(平成16年),(平成17年),(平成18年),(平成19年),(平成20年),(平成21年),(平成22年),(平成23年),(平成24年),(平成25年),(平成26年),(平成27年),(平成28年),(平成29年),(平成30年),(令和元年),(令和２年),(令和３年)
1,-,-,-,-,世帯数分布(抽出率調整),10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
2,-,-,-,-,集計世帯数,7921,7913,7908,7912,7896,7891,7854,7830,7818,7828,7817,7676,7788,7784,7774,7772,7711,7708,7638,7522,7504,7424
3,-,-,-,-,世帯人員(人),3.31,3.28,3.24,3.22,3.19,3.17,3.16,3.14,3.13,3.11,3.09,3.08,3.07,3.05,3.03,3.02,2.99,2.98,2.98,2.97,2.95,2.93
4,-,-,-,-,18歳未満人員(人),0.74,0.71,0.7,0.68,0.68,0.64,0.65,0.64,0.64,0.65,0.63,0.62,0.6,0.59,0.59,0.57,0.56,0.55,0.56,0.58,0.56,0.55
5,-,-,-,-,65歳以上人員(人),0.53,0.57,0.58,0.59,0.59,0.62,0.63,0.67,0.65,0.66,0.68,0.69,0.72,0.76,0.78,0.82,0.84,0.86,0.83,0.82,0.85,0.85
6,-,-,-,-,うち無職者人員(人),0.42,0.44,0.46,0.47,0.47,0.49,0.51,0.54,0.53,0.53,0.55,0.57,0.59,0.61,0.63,0.64,0.66,0.68,0.66,0.66,0.67,0.67
7,-,-,-,-,有業人員(人),1.52,1.51,1.45,1.44,1.41,1.42,1.41,1.39,1.39,1.37,1.36,1.33,1.33,1.34,1.31,1.35,1.34,1.32,1.35,1.34,1.34,1.34
8,-,-,-,-,世帯主の年齢(歳),52.8,53.6,53.8,54,54.4,54.9,55.2,55.7,55.7,55.8,56.3,56.8,57.5,57.9,58.3,58.8,59.2,59.6,59.3,59.4,59.7,60.1
9,-,-,-,-,持家率(％),76.2,77.1,76.7,77.1,77.2,77.6,78.1,80.3,81.3,80.1,79.7,78.9,81.4,83.5,83.4,83.7,84.9,86.1,84.6,85.1,85.6,84.4
10,-,-,-,-,家賃・地代を支払っている世帯の割合(％),22.5,21.6,21.5,21.4,21.4,20.9,20.2,18.6,17.6,18.8,19,19.7,17.2,15.5,15.6,15.2,14.3,13.1,14.3,13.8,13.3,14.2
11,1,-,-,-,消費支出,3807937,3708649,3671438,3622095,3635703,3606377,3539316,3573382,3563187,3500848,3482930,3395587,3434026,3485454,3494322,3448482,3386257,3396330,3447782,3520547,3335114,3348287
12,2,1,-,-,食料,973680,945571,939218,919666,914712,902003,891439,901601,905557,896128,884768,872850,879402,895860,913261,937712,947618,946438,952170,965536,962373,952812
13,3,1,1,-,穀類,90892,87290,85902,86779,86998,80572,78462,79069,82562,83009,79638,78837,79406,78027,76782,76650,76988,76520,77498,78421,82018,78595
14,4,1,1,1,米,40256,38293,36593,37256,37294,32896,30967,30679,31230,30495,28610,27425,28731,28093,25108,22981,23522,23681,24314,23212,23920,21862
15,4,1,1,2,パン,27512,26358,26750,27189,27610,26253,26559,27096,28220,28964,28177,28321,28282,27974,29210,30507,30294,29957,30554,32164,31456,31353
16,4,1,1,3,麺類,18771,18373,18389,18165,18053,16662,16292,16414,17985,18423,18047,18236,17563,17170,17295,17747,17606,17300,17368,17713,20602,19676
17,4,1,1,4,他の穀類,4354,4266,4169,4170,4041,4759,4643,4880,5127,5127,4804,4855,4831,4790,5169,5414,5566,5583,5261,5332,6039,5704
18,3,1,2,-,魚介類,110868,107090,104753,98897,95017,93041,91943,91763,88594,85917,82278,78754,77803,78739,79829,81337,79737,77297,74006,73862,77341,75035
